epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2001,3.46025,3.19908,3.27404,0.00286,0.85714,0.05726,0.0135,3.25787,4.33237,3.65068,0.00012,0.00012,0.00012
2,66.0711,2.84301,2.62568,2.80848,0.00333,1,0.47139,0.11451,2.24777,3.32955,3.33042,0.00024713,0.00024713,0.00024713
3,98.0284,2.07609,1.981,2.29139,0.02792,1,0.71841,0.16954,2.25841,3.29013,3.31563,0.0003604,0.0003604,0.0003604
4,129.413,1.70918,1.76684,2.07215,0.5772,0.94643,0.83742,0.28633,2.02924,2.98703,3.08164,0.00045981,0.00045981,0.00045981
5,165.537,1.41593,1.47386,1.87382,0.63221,0.86607,0.76013,0.31988,2.08852,2.7941,2.99696,0.00054536,0.00054536,0.00054536
6,201.784,1.18738,1.30082,1.6826,0.91007,0.85714,0.96774,0.50315,2.04428,2.64563,2.87058,0.00061705,0.00061705,0.00061705
7,236.781,1.00454,1.18897,1.55203,0.99887,1,0.995,0.80386,0.90144,1.54613,2.15609,0.00067488,0.00067488,0.00067488
8,267.85,0.8147,1.05557,1.47589,0.99931,1,0.995,0.79115,0.95751,1.85656,2.19042,0.00071885,0.00071885,0.00071885
9,298.985,0.77542,0.96684,1.40548,0.99942,1,0.995,0.85456,0.67869,1.30784,1.79434,0.00074896,0.00074896,0.00074896
10,330.574,0.73145,0.94186,1.36716,0.99946,1,0.995,0.87118,0.65727,1.34053,1.73257,0.00076521,0.00076521,0.00076521
11,361.968,0.72473,1.54819,1.39278,0.99949,1,0.995,0.85434,0.7226,1.23016,1.62001,0.0007676,0.0007676,0.0007676
12,393.097,0.73159,1.38793,1.48485,0.99951,1,0.995,0.64876,1.29575,1.63299,2.03955,0.00075613,0.00075613,0.00075613
13,425.051,0.63249,1.34878,1.37624,0.99953,1,0.995,0.64522,1.27754,1.59311,2.0275,0.0007308,0.0007308,0.0007308
14,458.687,0.50338,1.26215,1.28925,0.99953,1,0.995,0.7748,0.86636,1.12949,1.63153,0.00069161,0.00069161,0.00069161
15,492.799,0.46821,1.12333,1.25101,0.99939,1,0.995,0.8714,0.71884,1.16535,1.52445,0.000614,0.000614,0.000614
16,528.77,0.43746,1.04323,1.18352,0.99942,1,0.995,0.94089,0.43669,1.11419,1.30843,0.000515,0.000515,0.000515
17,565.896,0.41698,1.02593,1.22448,0.99946,1,0.995,0.94526,0.40428,1.02499,1.28638,0.000416,0.000416,0.000416
18,603.449,0.33736,0.93746,1.10855,0.9995,1,0.995,0.96881,0.3661,0.95382,1.25461,0.000317,0.000317,0.000317
19,635.407,0.33747,0.94184,1.11362,0.9995,1,0.995,0.97884,0.33971,0.93475,1.23414,0.000218,0.000218,0.000218
20,683.853,0.31966,0.9127,1.09671,0.99951,1,0.995,0.9758,0.32118,0.90699,1.20781,0.000119,0.000119,0.000119
